StationName,StationID,year,month,day,hour,tau,PMf
宜蘭,EPA065,2019,4,18,21,94,18.34270000
冬山,EPA066,2019,4,18,21,94,18.37570000
三重,EPA067,2019,4,18,21,94,33.66630000
中壢,EPA068,2019,4,18,21,94,39.41150000
竹山,EPA069,2019,4,18,21,94,16.07090000
永和,EPA070,2019,4,18,21,94,23.40650000
復興,EPA071,2019,4,18,21,94,40.79190000
埔里,EPA072,2019,4,18,21,94,18.58520000
關山,EPA080,2019,4,18,21,94,16.24180000
金門,EPA101,2019,4,18,21,94,NULL
馬祖,EPA102,2019,4,18,21,94,NULL
阿里山,EPA103,2019,4,18,21,94,16.36120000
麥寮,EPA110,2019,4,18,21,94,15.32740000
基隆,EPA001,2019,4,18,20,93,18.30950000
汐止,EPA002,2019,4,18,20,93,20.91870000
萬里,EPA003,2019,4,18,20,93,17.98350000
新店,EPA004,2019,4,18,20,93,27.56810000
土城,EPA005,2019,4,18,20,93,44.18010000
板橋,EPA006,2019,4,18,20,93,53.06850000
新莊,EPA007,2019,4,18,20,93,27.87350000
菜寮,EPA008,2019,4,18,20,93,31.56790000
林口,EPA009,2019,4,18,20,93,22.50040000
淡水,EPA010,2019,4,18,20,93,23.38130000
士林,EPA011,2019,4,18,20,93,19.53820000
中山,EPA012,2019,4,18,20,93,19.13150000
萬華,EPA013,2019,4,18,20,93,21.18390000
古亭,EPA014,2019,4,18,20,93,24.22230000
松山,EPA015,2019,4,18,20,93,21.12900000
大同,EPA016,2019,4,18,20,93,20.59570000
桃園,EPA017,2019,4,18,20,93,30.99960000
大園,EPA018,2019,4,18,20,93,22.63350000
觀音,EPA019,2019,4,18,20,93,18.40020000
平鎮,EPA020,2019,4,18,20,93,37.66840000
龍潭,EPA021,2019,4,18,20,93,33.61310000
湖口,EPA022,2019,4,18,20,93,37.13850000
竹東,EPA023,2019,4,18,20,93,24.45990000
新竹,EPA024,2019,4,18,20,93,24.41230000
頭份,EPA025,2019,4,18,20,93,24.29320000
苗栗,EPA026,2019,4,18,20,93,37.93000000
三義,EPA027,2019,4,18,20,93,20.77580000
豐原,EPA028,2019,4,18,20,93,22.00960000
沙鹿,EPA029,2019,4,18,20,93,24.74750000
大里,EPA030,2019,4,18,20,93,29.26300000
忠明,EPA031,2019,4,18,20,93,29.66160000
西屯,EPA032,2019,4,18,20,93,26.36790000
彰化,EPA033,2019,4,18,20,93,24.29540000
線西,EPA034,2019,4,18,20,93,23.13030000
二林,EPA035,2019,4,18,20,93,22.35580000
南投,EPA036,2019,4,18,20,93,19.47860000
斗六,EPA037,2019,4,18,20,93,15.57710000
崙背,EPA038,2019,4,18,20,93,8.56411000
新港,EPA039,2019,4,18,20,93,11.76160000
朴子,EPA040,2019,4,18,20,93,18.87260000
臺西,EPA041,2019,4,18,20,93,6.87912000
嘉義,EPA042,2019,4,18,20,93,13.53930000
新營,EPA043,2019,4,18,20,93,14.76210000
善化,EPA044,2019,4,18,20,93,25.02120000
安南,EPA045,2019,4,18,20,93,27.42780000
臺南,EPA046,2019,4,18,20,93,22.68030000
美濃,EPA047,2019,4,18,20,93,9.85533000
橋頭,EPA048,2019,4,18,20,93,21.55000000
仁武,EPA049,2019,4,18,20,93,23.87470000
鳳山,EPA050,2019,4,18,20,93,33.33090000
大寮,EPA051,2019,4,18,20,93,38.16550000
林園,EPA052,2019,4,18,20,93,37.84010000
楠梓,EPA053,2019,4,18,20,93,29.51900000
左營,EPA054,2019,4,18,20,93,13.45690000
前金,EPA056,2019,4,18,20,93,23.07800000
前鎮,EPA057,2019,4,18,20,93,35.03470000
小港,EPA058,2019,4,18,20,93,84.18230000
屏東,EPA059,2019,4,18,20,93,16.58630000
潮州,EPA060,2019,4,18,20,93,21.26230000
恆春,EPA061,2019,4,18,20,93,16.37020000
臺東,EPA062,2019,4,18,20,93,18.65090000
花蓮,EPA063,2019,4,18,20,93,24.91780000
陽明,EPA064,2019,4,18,20,93,18.29590000
宜蘭,EPA065,2019,4,18,20,93,19.12760000
冬山,EPA066,2019,4,18,20,93,19.23150000
三重,EPA067,2019,4,18,20,93,31.45530000
中壢,EPA068,2019,4,18,20,93,40.21170000
竹山,EPA069,2019,4,18,20,93,57.27740000
永和,EPA070,2019,4,18,20,93,23.12710000
復興,EPA071,2019,4,18,20,93,38.58580000
埔里,EPA072,2019,4,18,20,93,17.09350000
關山,EPA080,2019,4,18,20,93,15.44710000
金門,EPA101,2019,4,18,20,93,NULL
馬祖,EPA102,2019,4,18,20,93,NULL
阿里山,EPA103,2019,4,18,20,93,16.25460000
麥寮,EPA110,2019,4,18,20,93,17.33530000
基隆,EPA001,2019,4,18,19,92,18.67450000
汐止,EPA002,2019,4,18,19,92,22.28590000
萬里,EPA003,2019,4,18,19,92,17.89640000
新店,EPA004,2019,4,18,19,92,27.51890000
土城,EPA005,2019,4,18,19,92,31.07410000
板橋,EPA006,2019,4,18,19,92,41.55950000
新莊,EPA007,2019,4,18,19,92,28.18400000
菜寮,EPA008,2019,4,18,19,92,30.36290000
林口,EPA009,2019,4,18,19,92,20.22640000
淡水,EPA010,2019,4,18,19,92,28.29630000
士林,EPA011,2019,4,18,19,92,19.60600000
中山,EPA012,2019,4,18,19,92,19.80040000
萬華,EPA013,2019,4,18,19,92,22.72830000
古亭,EPA014,2019,4,18,19,92,22.90840000
松山,EPA015,2019,4,18,19,92,21.49420000
大同,EPA016,2019,4,18,19,92,26.35700000
桃園,EPA017,2019,4,18,19,92,28.97390000
大園,EPA018,2019,4,18,19,92,21.45520000
觀音,EPA019,2019,4,18,19,92,18.19320000
平鎮,EPA020,2019,4,18,19,92,30.18340000
龍潭,EPA021,2019,4,18,19,92,30.60120000
湖口,EPA022,2019,4,18,19,92,33.54790000
竹東,EPA023,2019,4,18,19,92,18.41120000
新竹,EPA024,2019,4,18,19,92,21.77240000
頭份,EPA025,2019,4,18,19,92,22.49130000
苗栗,EPA026,2019,4,18,19,92,28.39710000
三義,EPA027,2019,4,18,19,92,20.59680000
豐原,EPA028,2019,4,18,19,92,21.90600000
沙鹿,EPA029,2019,4,18,19,92,23.68880000
大里,EPA030,2019,4,18,19,92,32.50980000
忠明,EPA031,2019,4,18,19,92,31.90040000
西屯,EPA032,2019,4,18,19,92,24.99930000
彰化,EPA033,2019,4,18,19,92,24.69360000
線西,EPA034,2019,4,18,19,92,22.44070000
二林,EPA035,2019,4,18,19,92,21.45340000
南投,EPA036,2019,4,18,19,92,26.26820000
斗六,EPA037,2019,4,18,19,92,17.99210000
崙背,EPA038,2019,4,18,19,92,10.39970000
新港,EPA039,2019,4,18,19,92,11.37050000
朴子,EPA040,2019,4,18,19,92,16.95990000
臺西,EPA041,2019,4,18,19,92,6.56272000
嘉義,EPA042,2019,4,18,19,92,9.50290000
新營,EPA043,2019,4,18,19,92,17.16390000
善化,EPA044,2019,4,18,19,92,22.70870000
安南,EPA045,2019,4,18,19,92,24.18880000
臺南,EPA046,2019,4,18,19,92,22.63200000
美濃,EPA047,2019,4,18,19,92,10.29400000
橋頭,EPA048,2019,4,18,19,92,24.82550000
仁武,EPA049,2019,4,18,19,92,23.47290000
鳳山,EPA050,2019,4,18,19,92,19.87600000
大寮,EPA051,2019,4,18,19,92,22.76270000
林園,EPA052,2019,4,18,19,92,25.37010000
楠梓,EPA053,2019,4,18,19,92,28.26870000
左營,EPA054,2019,4,18,19,92,13.77470000
前金,EPA056,2019,4,18,19,92,29.44380000
前鎮,EPA057,2019,4,18,19,92,28.84380000
小港,EPA058,2019,4,18,19,92,87.68100000
屏東,EPA059,2019,4,18,19,92,19.78940000
潮州,EPA060,2019,4,18,19,92,22.42340000
恆春,EPA061,2019,4,18,19,92,16.34400000
臺東,EPA062,2019,4,18,19,92,17.87260000
花蓮,EPA063,2019,4,18,19,92,27.82300000
陽明,EPA064,2019,4,18,19,92,18.03230000
宜蘭,EPA065,2019,4,18,19,92,19.20490000
冬山,EPA066,2019,4,18,19,92,18.87860000
三重,EPA067,2019,4,18,19,92,24.87850000
中壢,EPA068,2019,4,18,19,92,31.26660000
竹山,EPA069,2019,4,18,19,92,46.62150000
永和,EPA070,2019,4,18,19,92,22.27980000
復興,EPA071,2019,4,18,19,92,29.99500000
埔里,EPA072,2019,4,18,19,92,17.64180000
關山,EPA080,2019,4,18,19,92,14.87700000
金門,EPA101,2019,4,18,19,92,NULL
馬祖,EPA102,2019,4,18,19,92,NULL
阿里山,EPA103,2019,4,18,19,92,16.42730000
麥寮,EPA110,2019,4,18,19,92,11.34890000
基隆,EPA001,2019,4,18,18,91,19.11270000
汐止,EPA002,2019,4,18,18,91,21.16710000
萬里,EPA003,2019,4,18,18,91,17.50410000
新店,EPA004,2019,4,18,18,91,29.76440000
土城,EPA005,2019,4,18,18,91,51.05640000
板橋,EPA006,2019,4,18,18,91,44.28040000
新莊,EPA007,2019,4,18,18,91,28.47040000
菜寮,EPA008,2019,4,18,18,91,30.33520000
林口,EPA009,2019,4,18,18,91,20.51660000
淡水,EPA010,2019,4,18,18,91,30.04550000
士林,EPA011,2019,4,18,18,91,19.60700000
中山,EPA012,2019,4,18,18,91,20.18000000
萬華,EPA013,2019,4,18,18,91,21.73340000
古亭,EPA014,2019,4,18,18,91,23.60550000
松山,EPA015,2019,4,18,18,91,20.31640000
大同,EPA016,2019,4,18,18,91,27.82250000
桃園,EPA017,2019,4,18,18,91,29.85770000
大園,EPA018,2019,4,18,18,91,21.77320000
觀音,EPA019,2019,4,18,18,91,18.35450000
平鎮,EPA020,2019,4,18,18,91,33.08280000
龍潭,EPA021,2019,4,18,18,91,30.11980000
湖口,EPA022,2019,4,18,18,91,26.23240000
竹東,EPA023,2019,4,18,18,91,18.52370000
新竹,EPA024,2019,4,18,18,91,21.70570000
頭份,EPA025,2019,4,18,18,91,23.00410000
苗栗,EPA026,2019,4,18,18,91,29.24340000
三義,EPA027,2019,4,18,18,91,20.61900000
豐原,EPA028,2019,4,18,18,91,20.84590000
沙鹿,EPA029,2019,4,18,18,91,24.32900000
大里,EPA030,2019,4,18,18,91,30.09560000
忠明,EPA031,2019,4,18,18,91,26.17930000
西屯,EPA032,2019,4,18,18,91,25.21510000
彰化,EPA033,2019,4,18,18,91,25.59030000
線西,EPA034,2019,4,18,18,91,22.50650000
二林,EPA035,2019,4,18,18,91,21.98000000
南投,EPA036,2019,4,18,18,91,31.13800000
